                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2877,                0.66943,                 1.2816,                0.85954,                0.87417,                0.86971,                0.42733,                 1.6305,                0.70394,                 1.5296,              0.0059163,              0.0059163,              0.0059163
                     35,                 1.2835,                0.67665,                  1.282,                0.89281,                0.87953,                0.88803,                0.42207,                 1.6642,                0.70974,                 1.5701,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.2739,                0.66526,                 1.2648,                 0.9192,                0.93079,                0.92073,                0.45743,                 1.6257,                  0.632,                  1.535,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.2561,                0.64191,                 1.2805,                0.89502,                  0.914,                 0.9264,                0.46601,                 1.6062,                0.62893,                  1.532,               0.005545,               0.005545,               0.005545
                     38,                  1.246,                0.66397,                 1.2691,                0.87743,                0.91803,                0.89528,                0.45673,                 1.6466,                0.66728,                 1.5716,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.2767,                0.64165,                 1.2933,                 0.8602,                0.89903,                0.90149,                0.44189,                 1.6623,                 0.6379,                 1.5759,              0.0052975,              0.0052975,              0.0052975
                     40,                 1.2081,                0.63292,                 1.2482,                0.90868,                0.89258,                0.87201,                0.43063,                 1.6853,                0.65429,                 1.6061,              0.0051737,              0.0051737,              0.0051737
                     41,                 1.2446,                0.65259,                 1.2614,                0.86759,                0.89312,                0.86855,                0.43092,                 1.6996,                0.66969,                 1.6172,                0.00505,                0.00505,                0.00505
                     42,                 1.1859,                0.63113,                 1.2392,                0.89087,                0.90444,                0.87899,                0.42314,                 1.7297,                0.65746,                 1.6676,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.1792,                  0.609,                 1.2432,                 0.8893,                0.89677,                0.86299,                0.42321,                 1.7209,                0.66653,                 1.6539,              0.0048025,              0.0048025,              0.0048025
                     44,                 1.1762,                0.61877,                 1.2338,                0.84735,                0.86707,                0.85127,                0.42753,                 1.6882,                0.64584,                 1.6189,              0.0046788,              0.0046788,              0.0046788
                     45,                 1.1896,                0.61196,                 1.2153,                0.87871,                 0.8857,                 0.8731,                0.43706,                 1.6578,                0.64393,                 1.6171,               0.004555,               0.004555,               0.004555
                     46,                 1.1572,                 0.5912,                 1.2163,                0.88546,                0.85192,                0.81833,                0.41795,                 1.6614,                0.62747,                 1.6195,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.1505,                0.59707,                 1.2231,                0.89034,                0.88455,                0.88041,                0.42302,                 1.6298,                0.64596,                 1.5891,              0.0043075,              0.0043075,              0.0043075
                     48,                 1.1522,                0.59425,                 1.2239,                0.88206,                0.85145,                0.84777,                0.43109,                 1.6517,                 0.6566,                 1.6232,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.1614,                0.60477,                 1.2271,                0.89526,                0.85522,                0.87004,                0.40598,                 1.6761,                0.66419,                 1.6247,                0.00406,                0.00406,                0.00406
                     50,                 1.1388,                0.56756,                 1.1974,                0.89683,                0.89309,                 0.9138,                0.44596,                 1.6476,                0.61262,                 1.6027,              0.0039362,              0.0039362,              0.0039362
                     51,                 1.1157,                0.56837,                 1.2027,                0.91042,                0.89068,                0.90512,                0.42958,                  1.645,                0.65516,                 1.6106,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.0934,                 0.5767,                 1.1733,                0.86746,                0.83605,                0.84198,                0.41262,                    1.7,                0.66117,                 1.6333,              0.0036888,              0.0036888,              0.0036888
                     53,                 1.0937,                0.55469,                 1.1791,                0.88307,                0.90036,                0.88987,                0.44331,                 1.6703,                0.63464,                 1.6193,               0.003565,               0.003565,               0.003565
                     54,                 1.0739,                0.55499,                 1.1757,                0.90435,                 0.8961,                0.90335,                0.43922,                 1.6731,                0.61777,                 1.6369,              0.0034413,              0.0034413,              0.0034413
                     55,                 1.0655,                0.54904,                 1.1758,                0.89042,                0.89927,                0.87643,                0.42767,                  1.662,                0.63248,                 1.6291,              0.0033175,              0.0033175,              0.0033175
                     56,                 1.0474,                0.54393,                 1.1638,                0.89339,                 0.8824,                0.85292,                0.41427,                 1.6761,                0.64396,                 1.6362,              0.0031938,              0.0031938,              0.0031938
                     57,                 1.0716,                0.54332,                 1.1581,                0.84942,                 0.8827,                0.85326,                0.41823,                 1.7238,                0.66412,                 1.6802,                0.00307,                0.00307,                0.00307
